--- Manifest dan Laporan Verifikasi untuk Set: train ---

# Ringkasan
  - Jumlah gambar: 3848
  - Jumlah baris transkripsi: 3848
  - Status: Cocok. Setiap gambar memiliki transkripsi.

# Daftar File Manifest (gambar | transkripsi)
images/0000_NL-HaNA_1.04.02_1152_0035-groot_line_1643033108423_99.jpg | Rombouw zijne onderdanen over haer begaen Schermstuck
images/0001_NL-HaNA_1.04.02_1152_0035-groot_line_1643033119373_108.jpg | jegens onsen staet te straffen, maer deselve ter contrarie
images/0002_NL-HaNA_1.04.02_1152_0035-groot_r2l10.jpg | uijtgelaten worden, dat onderstaen op Malacca te roven
images/0003_NL-HaNA_1.04.02_1152_0035-groot_r2l11.jpg | ende tot onder de muijren van de stad de landen ende wegen
images/0004_NL-HaNA_1.04.02_1152_0035-groot_r2l12.jpg | onveijl te houden: indervoegen dat genoeghsaem als
images/0005_NL-HaNA_1.04.02_1152_0035-groot_r2l13.jpg | geblocqueert sitten, niet alles tot groten schade ende nadeel
images/0006_NL-HaNA_1.04.02_1152_0035-groot_r2l14.jpg | vande goede Ingesetenen vandien, maer tot onverdraeghelijken
images/0007_NL-HaNA_1.04.02_1152_0035-groot_r2l15.jpg | hoon ende Schande van onse Staet in dese quartieren.
images/0008_NL-HaNA_1.04.02_1152_0035-groot_r2l16.jpg | daer soo al vrij wat aen is, ende blijckt bij veele
images/0009_NL-HaNA_1.04.02_1152_0035-groot_r2l17.jpg | gelegentheden dien vorst ons soo toegedaen niet en sij als
images/0010_NL-HaNA_1.04.02_1152_0035-groot_r2l18.jpg | wel voor desen. 'tSchijnt al onse vrundschap op den haet
images/0011_NL-HaNA_1.04.02_1152_0035-groot_r2l19.jpg | die jegens de Portugesen hadden gefondeert is geweest, ende
images/0012_NL-HaNA_1.04.02_1152_0035-groot_r2l2.jpg | ende terwijl den Johorit met al zijn Macht naePatanij sal
images/0013_NL-HaNA_1.04.02_1152_0035-groot_r2l20.jpg | dat die Natie door dat middel getracht hebben te
images/0014_NL-HaNA_1.04.02_1152_0035-groot_r2l21.jpg | verdelgen. het welck daer ontrent geschied sijnde nu wel
images/0015_NL-HaNA_1.04.02_1152_0035-groot_r2l22.jpg | souden wenschen ons den selven gangh te doen gaen. dat
images/0016_NL-HaNA_1.04.02_1152_0035-groot_r2l23.jpg | verhopen God almachtigh niet gehengen sal. Echter
images/0017_NL-HaNA_1.04.02_1152_0035-groot_r2l24.jpg | heeft ons geseijden Prins tot noch toe geen openbare
images/0018_NL-HaNA_1.04.02_1152_0035-groot_r2l25.jpg | vijantschap betoont, soo dat soo plotselijck sonder voorgaene
images/0019_NL-HaNA_1.04.02_1152_0035-groot_r2l26.jpg | ontseggingh van vrede ende denunciatie van Oorlogh
images/0020_NL-HaNA_1.04.02_1152_0035-groot_r2l27.jpg | onversiens in desselfs Landen te vallen niet wel
images/0021_NL-HaNA_1.04.02_1152_0035-groot_r2l29.jpg | gejustificeert soude connen werden. Ende laet voorn
images/0022_NL-HaNA_1.04.02_1152_0035-groot_r2l3.jpg | wesen desselfs landen te invaderen, aengesien gelijck den gouv.r
images/0023_NL-HaNA_1.04.02_1152_0035-groot_r2l30.jpg | Gouverneur in vele blijcken jegens die van Johor vrij
images/0024_NL-HaNA_1.04.02_1152_0035-groot_r2l32.jpg | gepassionneert
images/0025_NL-HaNA_1.04.02_1152_0035-groot_r2l4.jpg | sustineert allerwegen blijcken laet de saken niet recht met
images/0026_NL-HaNA_1.04.02_1152_0035-groot_r2l5.jpg | ons te menen: mits nalatigh blijft die van Naningh ende
images/0027_NL-HaNA_1.04.02_1152_0035-groot_r2l9.jpg | genoegh jegens ons protegeert. Waer op dan soo stout ende
images/0028_NL-HaNA_1.04.02_1152_0035-groot_r3l1.jpg | 11.
images/0029_NL-HaNA_1.04.02_1175_0144-groot_line_1644234881601_41.jpg | In Banda, ende Jambij, wegens oude schult ontfangen.„ 1970:10:4
